,Patent,primary_subclass,Citation,GDate
130,3930237,234,3529298,1975-12-30
71007,3914745,234,3501746,1975-10-21
71008,3914745,234,3553445,1975-10-21
71009,3914745,234,3577127,1975-10-21
71010,3914745,234,3579193,1975-10-21
71011,3914745,234,3599177,1975-10-21
71012,3914745,234,3602893,1975-10-21
71013,3914745,234,3648245,1975-10-21
71014,3914745,234,3648251,1975-10-21
71015,3914745,234,3688299,1975-10-21
71016,3914745,234,3764993,1975-10-21
71017,3914745,234,3812945,1975-10-21
118132,3905022,210,2911624,1975-09-09
118133,3905022,210,3456243,1975-09-09
118134,3905022,210,3465299,1975-09-09
118135,3905022,210,3501746,1975-09-09
118136,3905022,210,3518629,1975-09-09
118137,3905022,210,3544975,1975-09-09
118138,3905022,210,3636519,1975-09-09
118139,3905022,210,3643252,1975-09-09
118140,3905022,210,3651481,1975-09-09
118141,3905022,210,3683359,1975-09-09
118142,3905022,210,3699531,1975-09-09
271722,3872460,788,3453384,1975-03-18
271723,3872460,788,3466645,1975-03-18
271724,3872460,788,3505665,1975-03-18
271725,3872460,788,3599178,1975-03-18
271726,3872460,788,3709525,1975-03-18
271767,3872446,733,3388391,1975-03-18
271768,3872446,733,3418518,1975-03-18
271769,3872446,733,3422420,1975-03-18
271770,3872446,733,3581290,1975-03-18
271771,3872446,733,3597757,1975-03-18
271772,3872446,733,3611348,1975-03-18
271773,3872446,733,3685039,1975-03-18
271774,3872446,733,3701988,1975-03-18
317961,3991405,264,3864669,1976-11-09
337798,3987415,205,3618032,1976-10-19
337799,3987415,205,3706075,1976-10-19
337800,3987415,205,3755784,1976-10-19
337801,3987415,205,3764986,1976-10-19
337802,3987415,205,3772655,1976-10-19
369136,3980994,220,3654611,1976-09-14
369137,3980994,220,3810107,1976-09-14
401607,3974496,201,2871289,1976-08-10
401608,3974496,201,3187321,1976-08-10
401609,3974496,201,3248703,1976-08-10
401610,3974496,201,3533076,1976-08-10
401611,3974496,201,3576433,1976-08-10
401612,3974496,201,3679875,1976-08-10
401613,3974496,201,3805255,1976-08-10
413611,3972026,210,3500470,1976-07-27
413612,3972026,210,3623068,1976-07-27
518369,3950734,262,2974193,1976-04-13
518370,3950734,262,3325786,1976-04-13
518371,3950734,262,3381276,1976-04-13
518372,3950734,262,3394368,1976-04-13
518373,3950734,262,3665450,1976-04-13
518374,3950734,262,3809203,1976-04-13
518377,3950732,201,3670313,1976-04-13
518378,3950732,201,3701132,1976-04-13
518379,3950732,201,3737881,1976-04-13
518380,3950732,201,3760387,1976-04-13
518381,3950732,201,3772658,1976-04-13
518382,3950732,201,3797002,1976-04-13
580066,3938099,234,2728816,1976-02-10
580067,3938099,234,3199446,1976-02-10
580068,3938099,234,3319516,1976-02-10
580069,3938099,234,3335416,1976-02-10
580070,3938099,234,3422419,1976-02-10
580071,3938099,234,3449721,1976-02-10
580072,3938099,234,3513968,1976-02-10
580073,3938099,234,3665450,1976-02-10
580074,3938099,234,3726193,1976-02-10
689052,4051459,256,3654609,1977-09-27
689053,4051459,256,3676856,1977-09-27
689054,4051459,256,3760375,1977-09-27
