,0
0,3930237
1,3914745
2,3905022
3,3872460
4,3872446
5,3991405
6,3987415
7,3980994
8,3974496
9,3972026
10,3950734
11,3950732
12,3938099
13,4051459
14,4041467
15,4040024
16,4028681
17,4028680
18,4028677
19,4017838
20,4013876
21,4007362
22,4131949
23,4125868
24,4122533
25,4121283
26,4120028
27,4107784
28,4092729
29,4079449
30,4164025
31,4158236
32,4139902
33,4136395
34,4234933
35,4228507
36,4225943
37,4223393
38,4218760
39,4212077
40,4197590
41,4195353
42,4195338
43,4193112
44,4181972
45,4308582
46,4305131
47,4298957
48,4291381
49,4270172
50,4259725
51,4250560
52,4247906
53,4244031
54,4365242
55,4360892
56,4360806
57,4357680
58,4355371
59,4354185
60,4354184
61,4353063
62,4342085
63,4334286
64,4333152
65,4330845
66,4328561
67,4327421
68,4325117
69,4322157
70,4319337
71,4314357
72,4420816
73,4417322
74,4417239
75,4414628
76,4414621
77,4412294
78,4410958
79,4408302
80,4402058
81,4398264
82,4398246
83,4396992
84,4393463
85,4392197
86,4386410
87,4383307
88,4373194
89,4490789
90,4486857
91,4484305
92,4484304
93,4484302
94,4482955
95,4481603
96,4479197
97,4471459
98,4470129
99,4467446
100,4464730
101,4463442
102,4462085
103,4460975
104,4460971
105,4459678
106,4458331
107,4458311
108,4456969
109,4455624
110,4454592
111,4454576
112,4454507
113,4451900
114,4451895
115,4447888
116,4445196
117,4439838
118,4437167
119,4437093
120,4435778
121,4435777
122,4435776
123,4434475
124,4430725
125,4429372
126,4425629
127,4425627
128,4424575
129,4559615
130,4559598
131,4559533
132,4556954
133,4555775
134,4555772
135,4555759
136,4550315
137,4545015
138,4543631
139,4542376
140,4539653
141,4538225
142,4533910
143,4531201
144,4531184
145,4527250
146,4525779
147,4521096
148,4520457
149,4517658
150,4513391
151,4509138
152,4507753
153,4507734
154,4506343
155,4503514
156,4499553
157,4498148
158,4498147
159,4498143
160,4498142
161,4491933
162,4633432
163,4633430
164,4627023
165,4625294
166,4625202
167,4620295
168,4617643
169,4616336
170,4613946
171,4611306
172,4608662
173,4606664
174,4601003
175,4595997
176,4591999
177,4591974
178,4587631
179,4587630
180,4586158
181,4586156
182,4580241
183,4580231
184,4575816
185,4575813
186,4574364
187,4574363
188,4573138
189,4569026
190,4566000
191,4712191
192,4710885
193,4710761
194,4709348
195,4707801
196,4701851
197,4700320
198,4698758
199,4695975
200,4694288
201,4692865
202,4692858
203,4689768
204,4689764
205,4688167
206,4686649
207,4680710
208,4677585
209,4677570
210,4674043
211,4674042
212,4672571
213,4670842
214,4670841
215,4670752
216,4663731
217,4663617
218,4663615
219,4661810
220,4658366
221,4656603
222,4653020
223,4651300
224,4651146
225,4649513
226,4648071
227,4648067
228,4648062
229,4646250
230,4642790
231,4641274
232,4641253
233,4639881
234,4794529
235,4794386
236,4792919
237,4791556
238,4789962
239,4788659
240,4787059
241,4786897
242,4785413
243,4785399
244,4783761
245,4783760
246,4783759
247,4783758
248,4783648
249,4782464
250,4780710
251,4779081
252,4777600
253,4777596
254,4775935
255,4773039
256,4772882
257,4771401
258,4771385
259,4769762
260,4769636
261,4764867
262,4761761
263,4761642
264,4761640
265,4760552
266,4760528
267,4758955
268,4755955
269,4755809
270,4754267
271,4752908
272,4751674
273,4751507
274,4747053
275,4745405
276,4744048
277,4742485
278,4742473
279,4740912
280,4739314
281,4737922
282,4736340
283,4736309
284,4736308
285,4736199
286,4733351
287,4731609
288,4730269
289,4727511
290,4725829
291,4724523
292,4723217
293,4723211
294,4723210
295,4723209
296,4717911
297,4890257
298,4890256
299,4890098
300,4888730
301,4885576
302,4884199
303,4881197
304,4879653
305,4879648
306,4876657
307,4875174
308,4875034
309,4873652
310,4873634
311,4872001
312,4870611
313,4870397
314,4868779
315,4868765
316,4868548
317,4866638
318,4866600
319,4864530
320,4864516
321,4862410
322,4862389
323,4862386
324,4860218
325,4858171
326,4858170
327,4853878
328,4847766
329,4847762
330,4847605
331,4845653
332,4845645
333,4845644
334,4843593
335,4841478
336,4841472
337,4839829
338,4839827
339,4837737
340,4837712
341,4835735
342,4835526
343,4833627
344,4831583
345,4831556
346,4831552
347,4829472
348,4829470
349,4829294
350,4829292
351,4827447
352,4827410
353,4823303
354,4823288
355,4823283
356,4823108
357,4821211
358,4819191
359,4819189
360,4817043
361,4817018
362,4815029
363,4814755
364,4813013
365,4813010
366,4812998
367,4812966
368,4812834
369,4811243
370,4811240
371,4808979
372,4807182
373,4807181
374,4807155
375,4807154
376,4807123
377,4806919
378,4805119
379,4803643
380,4802104
381,4799191
382,4799188
383,4797855
384,4797854
385,4980855
386,4980841
387,4980840
388,4977536
389,4977520
390,4975690
391,4974196
392,4974195
393,4974194
394,4974178
395,4974173
396,4974170
397,4974160
398,4970683
399,4970678
400,4970665
401,4970664
402,4969097
403,4967376
404,4967372
405,4965727
406,4964077
407,4964069
408,4962475
409,4962472
410,4962463
411,4961071
412,4961070
413,4959803
414,4959785
415,4959643
416,4958297
417,4956806
